date,term,interest
6/21/2020,Zoom,3
6/28/2020,Zoom,3
7/5/2020,Zoom,3
7/12/2020,Zoom,3
7/19/2020,Zoom,2
7/26/2020,Zoom,2
8/2/2020,Zoom,2
8/9/2020,Zoom,3
8/16/2020,Zoom,3
8/23/2020,Zoom,4
8/30/2020,Zoom,4
9/6/2020,Zoom,3
9/13/2020,Zoom,3
9/20/2020,Zoom,3
9/27/2020,Zoom,3
10/4/2020,Zoom,3
10/11/2020,Zoom,2
10/18/2020,Zoom,3
10/25/2020,Zoom,2
11/1/2020,Zoom,2
11/8/2020,Zoom,2
11/15/2020,Zoom,2
11/22/2020,Zoom,2
11/29/2020,Zoom,2
12/6/2020,Zoom,2
12/13/2020,Zoom,2
12/20/2020,Zoom,2
12/27/2020,Zoom,1
1/5/2020,IPL,0
1/12/2020,IPL,0
1/19/2020,IPL,0
1/26/2020,IPL,0
2/2/2020,IPL,0
2/9/2020,IPL,0
2/16/2020,IPL,0
2/23/2020,IPL,0
3/1/2020,IPL,0
3/8/2020,IPL,0
3/15/2020,IPL,0
3/22/2020,IPL,0
3/29/2020,IPL,0
4/5/2020,IPL,0
4/12/2020,IPL,0
4/19/2020,IPL,0
4/26/2020,IPL,0
5/3/2020,IPL,0
5/10/2020,IPL,0
5/17/2020,IPL,0
5/24/2020,IPL,0
5/31/2020,IPL,0
6/7/2020,IPL,0
6/14/2020,IPL,0
6/21/2020,IPL,0
6/28/2020,IPL,0
7/5/2020,IPL,0
7/12/2020,IPL,0
7/19/2020,IPL,0
7/26/2020,IPL,0
8/2/2020,IPL,0
8/9/2020,IPL,0
8/16/2020,IPL,0
8/23/2020,IPL,0
8/30/2020,IPL,0
9/6/2020,IPL,1
9/13/2020,IPL,3
9/20/2020,IPL,13
9/27/2020,IPL,14
10/4/2020,IPL,16
10/11/2020,IPL,16
10/18/2020,IPL,16
10/25/2020,IPL,17
11/1/2020,IPL,14
11/8/2020,IPL,6
11/15/2020,IPL,0
11/22/2020,IPL,0
11/29/2020,IPL,0
12/6/2020,IPL,0
12/13/2020,IPL,0
12/20/2020,IPL,0
12/27/2020,IPL,0
