county,county_code,state,rate
Marion,097,Indiana,7.9
Martin,101,Indiana,4.2
Miami,103,Indiana,8.2
Morgan,109,Indiana,5.4
Butte,023,Idaho,3.6
Camas,025,Idaho,4.8
Caribou,029,Idaho,3.6
Clark,033,Idaho,4
Franklin,041,Idaho,3.6
Fremont,043,Idaho,3.6
Gooding,047,Idaho,3.8
Jerome,053,Idaho,4
Kootenai,055,Idaho,6.9
Lewis,061,Idaho,7.7
Madison,065,Idaho,2.7
Nez Perce,069,Idaho,4.9
Benton,007,Indiana,5.2
Brown,013,Indiana,6.7
Carroll,015,Indiana,6
Clark,019,Indiana,7.2
Crawford,025,Indiana,7.1
Decatur,031,Indiana,7.5
Delaware,035,Indiana,7.3
Fountain,045,Indiana,6.5
Habersham,137,Georgia,5.4
Hancock,141,Georgia,8.8
Hart,147,Georgia,5.4
Irwin,155,Georgia,5.5
Jasper,159,Georgia,4.9
Jenkins,165,Georgia,6.3
Lamar,171,Georgia,6.3
Lanier,173,Georgia,5.2
Johnson,091,Kansas,5.1
Kiowa,097,Kansas,3.3
Labette,099,Kansas,5.6
Leavenworth,103,Kansas,5.8
Logan,109,Kansas,2.5
McPherson,113,Kansas,3.5
Meade,119,Kansas,2.8
Montgomery,125,Kansas,7.3
Nemaha,131,Kansas,3
Osborne,141,Kansas,2.9
Ottawa,143,Kansas,4.3
Republic,157,Kansas,3.3
Rush,165,Kansas,4.6
Russell,167,Kansas,4.2
Scott,171,Kansas,2.5
Shawnee,177,Kansas,5.9
Lafourche,057,Louisiana,6.5
Lincoln,061,Louisiana,6.3
Livingston,063,Louisiana,6.4
Natchitoches,069,Louisiana,6.8
Plaquemines,075,Louisiana,7
Rapides,079,Louisiana,6.2
Red River,081,Louisiana,6.2
Sabine,085,Louisiana,5.5
Jefferson,111,Kentucky,6.8
Jessamine,113,Kentucky,5.6
Larue,123,Kentucky,7.2
Lee,129,Kentucky,7
Lewis,135,Kentucky,9.5
Livingston,139,Kentucky,7.5
McCracken,145,Kentucky,7.2
Magoffin,153,Kentucky,16.1
Martin,159,Kentucky,11.6
Mercer,167,Kentucky,7.3
Monroe,171,Kentucky,5.4
Montgomery,173,Kentucky,8
Nelson,179,Kentucky,6.9
Decatur,053,Iowa,3.8
Allen,003,Indiana,7.7
Lincoln,181,Georgia,5.4
Dubuque,061,Iowa,5.9
Franklin,069,Iowa,3.8
Grundy,075,Iowa,4.4
Guthrie,077,Iowa,5
Howard,089,Iowa,4.5
Ida,093,Iowa,3.6
Jefferson,101,Iowa,5.7
Johnson,103,Iowa,4.8
Keokuk,107,Iowa,4.9
Lee,111,Iowa,6.5
Marshall,127,Iowa,7.1
Mills,129,Iowa,3.9
Monroe,135,Iowa,5.2
Muscatine,139,Iowa,6
Page,145,Iowa,5
Sherman,181,Kansas,3.4
Polk,153,Iowa,6
Pottawattamie,155,Iowa,5.2
Ringgold,159,Iowa,3.9
Scott,163,Iowa,6.8
Tama,171,Iowa,5.1
Van Buren,177,Iowa,4.6
Washington,183,Iowa,4.1
Winnebago,189,Iowa,6.4
Woodbury,193,Iowa,5.3
Anderson,003,Kansas,4.1
Barton,009,Kansas,4.6
Chase,017,Kansas,5.5
Chautauqua,019,Kansas,6.1
Morgan,211,Georgia,5.4
Lincoln,081,Minnesota,4.4
Marshall,089,Minnesota,6.5
Martin,091,Minnesota,5.2
Mille Lacs,095,Minnesota,8.4
Morrison,097,Minnesota,6.8
Mower,099,Minnesota,5
Nobles,105,Minnesota,4.2
Olmsted,109,Minnesota,5.4
Otter Tail,111,Minnesota,5.4
Pine,115,Minnesota,8.6
Pipestone,117,Minnesota,4
Polk,119,Minnesota,5.6
Renville,129,Minnesota,5.5
Rock,133,Minnesota,3
Dickinson,059,Iowa,5.1
Sherburne,141,Minnesota,6.1
Stearns,145,Minnesota,5.7
Stevens,149,Minnesota,3.3
Wabasha,157,Minnesota,5.3
Washington,163,Minnesota,5.6
Wright,171,Minnesota,5.5
Amite,005,Mississippi,8.4
Benton,009,Mississippi,8.3
Bolivar,011,Mississippi,8.7
Carroll,015,Mississippi,7.7
Claiborne,021,Mississippi,14.4
Covington,031,Mississippi,6.9
George,039,Mississippi,9.1
Plymouth,149,Iowa,3.6
Hancock,045,Mississippi,8.5
Holmes,051,Mississippi,16.2
Humphreys,053,Mississippi,14.7
Jackson,059,Mississippi,9.5
Jones,067,Mississippi,7.1
Lamar,073,Mississippi,6
Franklin,007,Maine,6.1
Muscogee,215,Georgia,7.8
Quitman,239,Georgia,6.5
Lake of the Woods,077,Minnesota,6.1
Darlington,031,South Carolina,6.5
Dorchester,035,South Carolina,5.8
Edgefield,037,South Carolina,5.1
Bradley,011,Tennessee,6.6
Carroll,017,Tennessee,7.4
Cheatham,021,Tennessee,5.6
Claiborne,025,Tennessee,7
Crockett,033,Tennessee,5.9
Cumberland,035,Tennessee,7.7
DeKalb,041,Tennessee,9.1
Fayette,047,Tennessee,6.4
Fentress,049,Tennessee,6.5
Greene,059,Tennessee,8.3
Grundy,061,Tennessee,9.8
St. Louis,137,Minnesota,7.2
Lincoln,015,Maine,5.3
Piscataquis,021,Maine,5.5
Sagadahoc,023,Maine,4.7
York,031,Maine,5.4
Greene,041,Mississippi,9.7
Rock,149,Nebraska,2.1
Saline,151,Nebraska,3.6
Saunders,155,Nebraska,3.7
Sheridan,161,Nebraska,2.4
Thayer,169,Nebraska,2.7
Thurston,173,Nebraska,5.2
Webster,181,Nebraska,3.8
Douglas,005,Nevada,8.6
Elko,007,Nevada,5.7
Humboldt,013,Nevada,4.9
Lincoln,017,Nevada,5.1
Nye,023,Nevada,9.7
Kennebec,011,Maine,5
Meigs,105,Ohio,9.6
Mercer,107,Ohio,5.4
Morrow,117,Ohio,7.1
Muskingum,119,Ohio,7.8
Paulding,125,Ohio,7.5
Pickaway,129,Ohio,6.8
Portage,133,Ohio,7.3
Preble,135,Ohio,6.7
Richland,139,Ohio,9
Ross,141,Ohio,8
Shelby,149,Ohio,7.7
Stark,151,Ohio,8.1
Tuscarawas,157,Ohio,7.6
Van Wert,161,Ohio,7
Hamilton,065,Tennessee,7.1
Hancock,067,Tennessee,8.4
Hardin,071,Tennessee,7.1
Henderson,077,Tennessee,8
Houston,083,Tennessee,8.2
Jackson,087,Tennessee,8
Lake,095,Tennessee,8.8
Lewis,101,Tennessee,7.5
McMinn,107,Tennessee,7.8
McNairy,109,Tennessee,8.7
Macon,111,Tennessee,6.5
Maury,119,Tennessee,8.1
Montgomery,125,Tennessee,7.6
Perry,135,Tennessee,9.5
Pickett,137,Tennessee,6.1
Caroline,011,Maryland,5.5
Carroll,013,Maryland,5.1
Frederick,021,Maryland,5.9
Garrett,023,Maryland,6.6
Montgomery,031,Maryland,6.3
Prince George's,033,Maryland,8.2
Washington,043,Maryland,6.7
Washoe,031,Nevada,7.8
Carson City,510,Nevada,8.2
Carroll,003,New Hampshire,7.7
Grafton,009,New Hampshire,5.8
Rockingham,015,New Hampshire,7.1
Sullivan,019,New Hampshire,5.4
Bergen,003,New Jersey,9.6
Cape May,009,New Jersey,13.8
Essex,013,New Jersey,11.7
Washington,167,Ohio,8.6
Williams,171,Ohio,7.8
Wyandot,175,Ohio,7
Alfalfa,003,Oklahoma,3.6
Blaine,011,Oklahoma,5.9
Bryan,013,Oklahoma,5.1
Canadian,017,Oklahoma,6
Cimarron,025,Oklahoma,2
Coal,029,Oklahoma,6.6
Craig,035,Oklahoma,5.4
Custer,039,Oklahoma,5.4
Ellis,045,Oklahoma,4.5
Garvin,049,Oklahoma,6.2
Greer,055,Oklahoma,7.4
Wilkes,193,North Carolina,6.8
Putnam,141,Tennessee,6.6
Briscoe,045,Texas,4.8
Brown,049,Texas,6.5
Caldwell,055,Texas,6.3
Cameron,061,Texas,10.2
Carson,065,Texas,4.2
Cass,067,Texas,7.9
Cherokee,073,Texas,7.9
Clay,077,Texas,5.5
Coke,081,Texas,5.5
Collin,085,Texas,6.3
Collingsworth,087,Texas,4.3
Comal,091,Texas,6.2
Worcester,047,Maryland,11.2
Dukes,007,Massachusetts,9.2
Hampden,013,Massachusetts,10.4
Hampshire,015,Massachusetts,7.2
Middlesex,017,Massachusetts,7.3
Hudson,017,New Jersey,10.6
Hunterdon,019,New Jersey,7.2
Mercer,021,New Jersey,7.4
Ocean,029,New Jersey,9.5
Salem,033,New Jersey,9.5
Somerset,035,New Jersey,7.8
Warren,041,New Jersey,8.5
Colfax,007,New Mexico,7.1
McCone,055,Montana,2.9
Madison,057,Montana,5.1
Wilson,195,North Carolina,8.9
Yancey,199,North Carolina,6.6
Benson,005,North Dakota,6.8
Bottineau,009,North Dakota,5.4
Cass,017,North Dakota,4.4
Eddy,027,North Dakota,4.7
Emmons,029,North Dakota,5
Grant,037,North Dakota,2.8
Griggs,039,North Dakota,3.1
Kidder,043,North Dakota,5.1
Logan,047,North Dakota,3.2
McKenzie,053,North Dakota,7.6
Morton,059,North Dakota,5.1
Nelson,063,North Dakota,4.5
Anderson,001,Tennessee,6.7
Bedford,003,Tennessee,7.9
Jackson,065,Oklahoma,4.1
Kay,071,Oklahoma,6.7
Logan,083,Oklahoma,5.1
Love,085,Oklahoma,4.2
McIntosh,091,Oklahoma,8.4
Murray,099,Oklahoma,6.2
Muskogee,101,Oklahoma,6
Okfuskee,107,Oklahoma,6.6
Okmulgee,111,Oklahoma,7.2
Pawnee,117,Oklahoma,6.5
Payne,119,Oklahoma,5.3
Pottawatomie,125,Oklahoma,6.1
Norfolk,021,Massachusetts,8.3
Plymouth,023,Massachusetts,9.5
Alger,003,Michigan,10.7
Allegan,005,Michigan,7.3
Alpena,007,Michigan,7.7
Missoula,063,Montana,6.3
Musselshell,065,Montana,6.1
Phillips,071,Montana,4.9
Powell,077,Montana,4.6
Richland,083,Montana,6.4
Rosebud,087,Montana,5.7
Sheridan,091,Montana,4.8
Sweet Grass,097,Montana,3.6
Toole,101,Montana,5
Oliver,065,North Dakota,5.2
Pembina,067,North Dakota,5.8
Ramsey,071,North Dakota,4.5
Renville,075,North Dakota,4.9
Sargent,081,North Dakota,4.4
Stark,089,North Dakota,7.1
Stutsman,093,North Dakota,3.5
Traill,097,North Dakota,3.6
Ward,101,North Dakota,6
Adams,001,Ohio,9.2
Ashland,005,Ohio,6.5
Auglaize,011,Ohio,6.9
Belmont,013,Ohio,10.1
Butler,017,Ohio,7.2
Carroll,019,Ohio,8.8
Allegheny,003,Pennsylvania,9
Beaver,007,Pennsylvania,10.3
Orange,361,Texas,10.5
Parmer,369,Texas,2.6
Reagan,383,Texas,9.7
Real,385,Texas,6.7
Red River,387,Texas,6.4
Robertson,395,Texas,6.4
Runnels,399,Texas,4.9
Sabine,403,Texas,10.8
Scurry,415,Texas,8.2
Shackelford,417,Texas,5.3
Shelby,419,Texas,6.8
Smith,423,Texas,6.8
Starr,427,Texas,17.3
Sterling,431,Texas,6.4
Bay,017,Michigan,9.2
Benzie,019,Michigan,9.4
Berrien,021,Michigan,8.6
Cass,027,Michigan,8.8
Cheboygan,031,Michigan,14.6
Chippewa,033,Michigan,8.9
Wibaux,109,Montana,5.1
Banner,007,Nebraska,2.6
Boone,011,Nebraska,2.5
Box Butte,013,Nebraska,4.8
Buffalo,019,Nebraska,4
Cass,025,Nebraska,4.3
Chase,029,Nebraska,1.8
Cheyenne,033,Nebraska,4.4
Cuming,039,Nebraska,2.5
Dawes,045,Nebraska,2.8
Dixon,051,Nebraska,3.2
Dundy,057,Nebraska,2.2
Garfield,071,Nebraska,2
Grant,075,Nebraska,2
Clark,023,Ohio,8.1
Clermont,025,Ohio,6.9
Columbiana,029,Ohio,9.4
Crawford,033,Ohio,9.4
Darke,037,Ohio,6.7
Delaware,041,Ohio,5.3
Erie,043,Ohio,10.5
Franklin,049,Ohio,7.4
Guadalupe,019,New Mexico,6.7
Harding,021,New Mexico,4.3
Lea,025,New Mexico,11
Mora,033,New Mexico,8
Rio Arriba,039,New Mexico,8.1
Rhea,143,Tennessee,9.8
Robertson,147,Tennessee,6.1
Rutherford,149,Tennessee,6.9
Sevier,155,Tennessee,9.6
Stewart,161,Tennessee,6.6
Tipton,167,Tennessee,6.9
Van Buren,175,Tennessee,8.7
Warren,177,Tennessee,8.9
Kershaw,055,South Carolina,5.3
Lee,061,South Carolina,7.6
McCormick,065,South Carolina,6.7
Newberry,071,South Carolina,4.8
Oconee,073,South Carolina,5.4
Delta,041,Michigan,8.7
Dickinson,043,Michigan,7
Emmet,047,Michigan,10.5
Gladwin,051,Michigan,9.7
Ingham,065,Michigan,7.5
Iosco,069,Michigan,10.5
Mercer,131,Illinois,8
McIntosh,191,Georgia,5.7
Hall,079,Nebraska,5.8
Hamilton,081,Nebraska,3.7
Harlan,083,Nebraska,2.9
Hitchcock,087,Nebraska,3.5
Kearney,099,Nebraska,3.2
Keith,101,Nebraska,3.2
Kimball,105,Nebraska,3.5
Lancaster,109,Nebraska,4.2
Loup,115,Nebraska,2.9
Madison,119,Nebraska,3.9
Marion,091,Mississippi,7.1
Montgomery,097,Mississippi,8
Newton,101,Mississippi,7.9
Pearl River,109,Mississippi,7.3
Quitman,119,Mississippi,10.9
Rankin,121,Mississippi,5.3
Smith,129,Mississippi,5.8
Roosevelt,041,New Mexico,6.2
Sandoval,043,New Mexico,8.6
Santa Fe,049,New Mexico,8.3
Torrance,057,New Mexico,9.5
Valencia,061,New Mexico,8.2
Broome,007,New York,8.7
Cayuga,011,New York,7.9
Chautauqua,013,New York,8.9
Clinton,019,New York,8
Dutchess,027,New York,7.7
Franklin,033,New York,8.2
Fulton,035,New York,8.6
Greene,039,New York,8.3
Rogers,131,Oklahoma,5.8
Sequoyah,135,Oklahoma,6.8
Stephens,137,Oklahoma,7.7
Tulsa,143,Oklahoma,6.6
Wagoner,145,Oklahoma,5.8
Washita,149,Oklahoma,6.7
Benton,003,Oregon,5.6
Clackamas,005,Oregon,7.2
Coos,011,Oregon,8.6
Crook,013,Oregon,8.8
Gilliam,021,Oregon,6.1
Hood River,027,Oregon,6.3
Jackson,075,Michigan,9
Kalkaska,079,Michigan,11.1
Kent,081,Michigan,7.6
Lapeer,087,Michigan,12.5
Livingston,093,Michigan,8.8
Luce,095,Michigan,8.6
Macomb,099,Michigan,12
Manistee,101,Michigan,10.8
Monroe,115,Michigan,8.9
Tate,137,Mississippi,7.7
Tishomingo,141,Mississippi,6.5
Tunica,143,Mississippi,14.9
Wayne,153,Mississippi,8.7
Webster,155,Mississippi,7.4
Wilkinson,157,Mississippi,13.4
Yazoo,163,Mississippi,9.7
Audrain,007,Missouri,5.9
Bollinger,017,Missouri,5.6
Butler,023,Missouri,6.3
Camden,029,Missouri,7
Carter,035,Missouri,6.5
Chariton,041,Missouri,4
Clark,045,Missouri,6
Hamilton,041,New York,7.9
Jefferson,045,New York,8.7
Livingston,051,New York,7.1
Monroe,055,New York,8.6
Nassau,059,New York,8.4
Niagara,063,New York,10.4
Orange,071,New York,8.4
Orleans,073,New York,8.4
Oswego,075,New York,8.9
Sutton,435,Texas,9.8
Swisher,437,Texas,5.2
Taylor,441,Texas,5.5
Throckmorton,447,Texas,4.9
Tom Green,451,Texas,6.3
Travis,453,Texas,6.3
Tyler,457,Texas,9.9
Van Zandt,467,Texas,6.1
Victoria,469,Texas,8.3
Washington,477,Texas,5.6
Wheeler,483,Texas,6
Wichita,485,Texas,6.7
Willacy,489,Texas,12
Wood,499,Texas,6.6
Beaver,001,Utah,4
Carbon,007,Utah,5.2
Iron,071,Michigan,8.1
Oakland,125,Michigan,9.3
Ontonagon,131,Michigan,10.3
Oscoda,135,Michigan,11.9
Saginaw,145,Michigan,9.9
St. Clair,147,Michigan,12
Tuscola,157,Michigan,10.1
Clay,047,Missouri,6.1
Cole,051,Missouri,4.4
Crawford,055,Missouri,6.4
Dade,057,Missouri,4.4
Daviess,061,Missouri,4.2
Douglas,067,Missouri,7.7
Gasconade,073,Missouri,5.8
Greene,077,Missouri,5.3
Grundy,079,Missouri,4.6
Holt,087,Missouri,3.4
Avery,011,North Carolina,6.3
Beaufort,013,North Carolina,6.3
Brunswick,019,North Carolina,8.8
Cabarrus,025,North Carolina,7
Paulding,223,Georgia,5.4
Queens,081,New York,12.5
Rockland,087,New York,8.1
St. Lawrence,089,New York,8.2
Schenectady,093,New York,8.1
Seneca,099,New York,8.2
Suffolk,103,New York,8.5
Tioga,107,New York,7.8
Wayne,117,New York,7.4
Bucks,017,Pennsylvania,8.3
Cameron,023,Pennsylvania,12.6
Richland,079,South Carolina,5.8
Spartanburg,083,South Carolina,6.6
Sumter,085,South Carolina,6.8
Williamsburg,089,South Carolina,8.1
Beadle,005,South Dakota,3.9
Brookings,011,South Dakota,4.4
Butte,019,South Dakota,5.4
Charles Mix,023,South Dakota,6.3
Custer,033,South Dakota,6
Deuel,039,South Dakota,5.4
Dewey,041,South Dakota,7.7
Edmunds,045,South Dakota,2.9
Grant,051,South Dakota,4
Hand,059,South Dakota,2.7
Van Buren,159,Michigan,8.3
Wayne,163,Michigan,13.8
Aitkin,001,Minnesota,8.1
Anoka,003,Minnesota,6.3
Big Stone,011,Minnesota,4.7
Carlton,017,Minnesota,7.2
Chisago,025,Minnesota,6.6
Crow Wing,035,Minnesota,7.2
Dakota,037,Minnesota,6.2
Douglas,041,Minnesota,4.8
Faribault,043,Minnesota,6.2
Fillmore,045,Minnesota,5
Hennepin,053,Minnesota,6.6
Isanti,059,Minnesota,6.8
Catawba,035,North Carolina,8
Chatham,037,North Carolina,5.4
Cherokee,039,North Carolina,7.9
Chowan,041,North Carolina,6.1
Columbus,047,North Carolina,8.2
Davie,059,North Carolina,6.8
Duplin,061,North Carolina,5.6
Edgecombe,065,North Carolina,10.6
Franklin,069,North Carolina,6.8
Gaston,071,North Carolina,8
Graham,075,North Carolina,9.9
Granville,077,North Carolina,5.9
Halifax,083,North Carolina,9.2
Haywood,087,North Carolina,7.5
Centre,027,Pennsylvania,5.8
Chester,029,Pennsylvania,6.4
Clearfield,033,Pennsylvania,9.2
Crawford,039,Pennsylvania,8.9
Delaware,045,Pennsylvania,9.1
Erie,049,Pennsylvania,9.8
Fayette,051,Pennsylvania,11.7
Franklin,055,Pennsylvania,7.6
Huntingdon,061,Pennsylvania,10.4
Juniata,067,Pennsylvania,7.2
Lawrence,073,Pennsylvania,10.3
Luzerne,079,Pennsylvania,10.9
Jackson,029,Oregon,7.8
Josephine,033,Oregon,7.9
Lane,039,Oregon,7.9
Linn,043,Oregon,7.8
Morrow,049,Oregon,5.2
Multnomah,051,Oregon,8.6
Umatilla,059,Oregon,6.8
Wasco,065,Oregon,7.1
Yamhill,071,Oregon,6.8
Jackson,063,Minnesota,4.8
Kanabec,065,Minnesota,8
Kittson,069,Minnesota,4.6
Laclede,105,Missouri,8.3
Lewis,111,Missouri,4.9
McDonald,119,Missouri,5
Maries,125,Missouri,4.8
Mercer,129,Missouri,3.6
Montgomery,139,Missouri,5
Morgan,141,Missouri,6.3
Nodaway,147,Missouri,4.6
Ozark,153,Missouri,7.2
Perry,157,Missouri,5.7
Phelps,161,Missouri,4.8
Polk,167,Missouri,4.7
Hyde,095,North Carolina,10.2
Jackson,099,North Carolina,7.6
Lee,105,North Carolina,8
McDowell,111,North Carolina,7
Madison,115,North Carolina,6.9
Mitchell,121,North Carolina,7.8
New Hanover,129,North Carolina,7.3
Orange,135,North Carolina,5.4
Pasquotank,139,North Carolina,7.3
Perquimans,143,North Carolina,6.7
Pitt,147,North Carolina,6.8
Richmond,153,North Carolina,9.2
Mercer,085,Pennsylvania,9.7
Monroe,089,Pennsylvania,11.5
Northampton,095,Pennsylvania,9
Philadelphia,101,Pennsylvania,12.4
Snyder,109,Pennsylvania,7.6
Somerset,111,Pennsylvania,9.5
Susquehanna,115,Pennsylvania,7.3
Union,119,Pennsylvania,6.8
Venango,121,Pennsylvania,8.9
Washington,125,Pennsylvania,9.4
York,133,Pennsylvania,8
Daggett,009,Utah,4.5
Duchesne,013,Utah,7.7
Grand,019,Utah,9.5
Juab,023,Utah,2.9
Anderson,001,Texas,5.6
Atascosa,013,Texas,8.4
Austin,015,Texas,6.6
Bailey,017,Texas,4.8
Baylor,023,Texas,3.5
Bee,025,Texas,9.8
Bexar,029,Texas,7.5
Borden,033,Texas,3.3
Bosque,035,Texas,5.5
Brazoria,039,Texas,8.6
Putnam,171,Missouri,4.4
Randolph,175,Missouri,5.9
Ray,177,Missouri,6.9
Ripley,181,Missouri,7.9
Ste. Genevieve,186,Missouri,4.9
St. Francois,187,Missouri,7
Schuyler,197,Missouri,5.7
Shannon,203,Missouri,7.3
Stoddard,207,Missouri,6
Taney,213,Missouri,12.9
Warren,219,Missouri,5.8
Webster,225,Missouri,5.3
St. Louis,510,Missouri,6.3
Big Horn,003,Montana,7.3
Rowan,159,North Carolina,7.9
Sampson,163,North Carolina,5.8
Stokes,169,North Carolina,6.4
Transylvania,175,North Carolina,6.1
Hamilton,061,Ohio,7.8
Highland,071,Ohio,8.7
Huron,077,Ohio,9.5
Jefferson,081,Ohio,10.1
Lawrence,087,Ohio,8.5
Lorain,093,Ohio,9.9
Mahoning,099,Ohio,10.2
Marion,101,Ohio,7.6
Bristol,001,Rhode Island,7.6
Kent,003,Rhode Island,8.7
Newport,005,Rhode Island,8.2
Abbeville,001,South Carolina,6.6
Aiken,003,South Carolina,5
Anderson,007,South Carolina,5.9
Calhoun,017,South Carolina,6.1
Chester,023,South Carolina,8.9
Chesterfield,025,South Carolina,6.1
Harding,063,South Dakota,3.6
Hughes,065,South Dakota,3.4
Hyde,069,South Dakota,3.1
Jones,075,South Dakota,3.7
Lake,079,South Dakota,3.8
Lyman,085,South Dakota,5.7
Meade,093,South Dakota,4.9
Miner,097,South Dakota,4.8
Moody,101,South Dakota,5.3
Shannon,113,South Dakota,10.1
Spink,115,South Dakota,4.1
Stanley,117,South Dakota,3.9
Todd,121,South Dakota,6.4
Union,127,South Dakota,5.1
Blaine,005,Montana,4.8
Carbon,009,Montana,6
Chouteau,015,Montana,3.9
Daniels,019,Montana,2.8
Deer Lodge,023,Montana,5.1
Flathead,029,Montana,7.8
Glacier,035,Montana,9.8
Hill,041,Montana,5
Nuckolls,129,Nebraska,2.7
Pawnee,133,Nebraska,2.8
Platte,141,Nebraska,3.7
Appanoose,007,Iowa,5.3
Benton,011,Iowa,5
Boone,015,Iowa,4.1
Buchanan,019,Iowa,4.6
Butler,023,Iowa,4.7
Carroll,027,Iowa,4
Cerro Gordo,033,Iowa,5.2
Jefferson,081,Illinois,10.1
Kankakee,091,Illinois,8.8
Kendall,093,Illinois,8.4
LaSalle,099,Illinois,9.4
Lawrence,101,Illinois,8.7
Livingston,105,Illinois,6.7
McDonough,109,Illinois,7.1
McHenry,111,Illinois,8.3
Macoupin,117,Illinois,6.9
Mason,125,Illinois,8
Massac,127,Illinois,10
Lowndes,185,Georgia,6
McDuffie,189,Georgia,7.8
Madison,195,Georgia,5.2
Meriwether,199,Georgia,8.6
Mitchell,205,Georgia,6.5
Montgomery,209,Georgia,5.4
Murray,213,Georgia,7.6
Oglethorpe,221,Georgia,4.8
Pierce,229,Georgia,4.5
Pike,231,Georgia,5
Pulaski,235,Georgia,4.5
Rabun,241,Georgia,5.3
Rockdale,247,Georgia,7.6
Spalding,255,Georgia,7.6
Stephens,257,Georgia,6.4
Tattnall,267,Georgia,4.3
Taylor,269,Georgia,6.7
Smith,183,Kansas,2.7
Stanton,187,Kansas,2.4
Stevens,189,Kansas,2.9
Wabaunsee,197,Kansas,4.2
Woodson,207,Kansas,5.9
Pendleton,191,Kentucky,5.2
Perry,193,Kentucky,8.9
Robertson,201,Kentucky,6.1
Rowan,205,Kentucky,7.5
Russell,207,Kentucky,8.2
Taylor,217,Kentucky,6
Trigg,221,Kentucky,6.9
Wayne,231,Kentucky,6.5
Webster,233,Kentucky,6.4
Wolfe,237,Kentucky,7.7
Woodford,239,Kentucky,5
Ascension,005,Louisiana,6.7
St. Helena,091,Louisiana,11.5
St. James,093,Louisiana,9.7
St. Landry,097,Louisiana,8.7
St. Martin,099,Louisiana,8.1
St. Tammany,103,Louisiana,6.8
Vermilion,113,Louisiana,7.4
Washington,117,Louisiana,8.2
Bath,011,Kentucky,8.3
Bell,013,Kentucky,7.8
Boone,015,Kentucky,5.4
Breckinridge,027,Kentucky,7.3
Bullitt,029,Kentucky,6.4
Monroe,133,Illinois,5.6
Morgan,137,Illinois,6.9
Ogle,141,Illinois,8.1
Peoria,143,Illinois,10.4
Piatt,147,Illinois,5.4
Pulaski,153,Illinois,11.7
Richland,159,Illinois,6.8
Saline,165,Illinois,9.7
Sangamon,167,Illinois,8.2
Stephenson,177,Illinois,7.3
Vermilion,183,Illinois,8.8
Wayne,191,Illinois,8.3
Whiteside,195,Illinois,8
Will,197,Illinois,9.5
Adams,001,Indiana,5.6
Thomas,275,Georgia,6.2
Toombs,279,Georgia,6.6
Towns,281,Georgia,6.7
Twiggs,289,Georgia,7.4
Walker,295,Georgia,4.9
Warren,301,Georgia,6.8
Cowley,035,Kansas,6.5
Dickinson,041,Kansas,4.9
Edwards,047,Kansas,3
Ellis,051,Kansas,3.5
Ellsworth,053,Kansas,3.3
Ford,057,Kansas,3.4
Gove,063,Kansas,2.9
Greenwood,073,Kansas,5.2
Harper,077,Kansas,4.4
Harvey,079,Kansas,5.3
Jefferson,087,Kansas,4.9
Beauregard,011,Louisiana,6.7
Bossier,015,Louisiana,6.4
Caddo,017,Louisiana,9
Cameron,023,Louisiana,5.7
De Soto,031,Louisiana,7.3
East Carroll,035,Louisiana,11.7
Franklin,041,Louisiana,8.1
Grant,043,Louisiana,6.5
Jackson,049,Louisiana,5.3
Jefferson,051,Louisiana,9.3
Lafayette,055,Louisiana,7.1
Calloway,035,Kentucky,6.2
Carlisle,039,Kentucky,4.7
Carroll,041,Kentucky,5.9
Casey,045,Kentucky,6.2
Cumberland,057,Kentucky,4.9
Estill,065,Kentucky,7.5
Fayette,067,Kentucky,5.7
Floyd,071,Kentucky,9.2
Garrard,079,Kentucky,6.3
Graves,083,Kentucky,5.9
Grayson,085,Kentucky,7.8
Hancock,091,Kentucky,6.1
Harrison,097,Kentucky,6.1
Henderson,101,Kentucky,6.1
Hopkins,107,Kentucky,7.4
Kimble,267,Texas,5.1
Kinney,271,Texas,6
Lamar,277,Texas,6.5
Lampasas,281,Texas,5.4
Lavaca,285,Texas,5.2
Lee,287,Texas,4.9
Liberty,291,Texas,10.6
Limestone,293,Texas,7.1
Lipscomb,295,Texas,4.2
Loving,301,Texas,1.7
Lynn,305,Texas,5.4
McCulloch,307,Texas,7.5
Martin,317,Texas,6.1
Maverick,323,Texas,15
Menard,327,Texas,5.2
Milam,331,Texas,7.1
Mills,333,Texas,4.1
Suffolk,800,Virginia,0
Virginia Beach,810,Virginia,0
Winchester,840,Virginia,0
Adams,001,Washington,7.3
Asotin,003,Washington,5.2
Benton,005,Washington,8.2
Cowlitz,015,Washington,9.3
Douglas,017,Washington,8.5
Ferry,019,Washington,11.5
Garfield,023,Washington,8.4
Grant,025,Washington,8.8
Fairfax,600,Virginia,5.8
Racine,101,Wisconsin,7.3
Rusk,107,Wisconsin,6.6
Sauk,111,Wisconsin,7.5
Sawyer,113,Wisconsin,7.9
Taylor,119,Wisconsin,4.9
Vernon,123,Wisconsin,5.2
Vilas,125,Wisconsin,7.2
Waukesha,133,Wisconsin,5.6
Winnebago,139,Wisconsin,5.4
Big Horn,003,Wyoming,5
Converse,009,Wyoming,6
Hot Springs,017,Wyoming,5
Johnson,019,Wyoming,5.5
Grant,023,West Virginia,6.5
Greenbrier,025,West Virginia,8.1
Hampshire,027,West Virginia,5.5
Harrison,033,West Virginia,7.9
Jefferson,037,West Virginia,5.9
Logan,045,West Virginia,12.2
Marshall,051,West Virginia,9.9
