county,county_code,state,rate
Clinton,053,Kentucky,5.1
Elliott,063,Kentucky,10.1
Gallatin,077,Kentucky,6
Green,087,Kentucky,5.4
Hart,099,Kentucky,6.4
Henry,103,Kentucky,5.7
Johnson,115,Kentucky,8.7
Knox,121,Kentucky,8.2
Lincoln,137,Kentucky,7.9
Lyon,143,Kentucky,5.3
Madison,151,Kentucky,6
Marshall,157,Kentucky,6.1
Metcalfe,169,Kentucky,7.8
Morgan,175,Kentucky,6.9
Clinton,045,Iowa,6.7
Crawford,047,Iowa,5.2
Delaware,055,Iowa,4
Emmet,063,Iowa,5
Floyd,067,Iowa,6
Hamilton,079,Iowa,4.4
Henry,087,Iowa,5.3
Iowa,095,Iowa,4.4
Jones,105,Iowa,5.7
Linn,113,Iowa,6.4
Madison,121,Iowa,5.7
Marion,125,Iowa,4.2
Montgomery,137,Iowa,4.7
O'Brien,141,Iowa,3.4
Pocahontas,151,Iowa,3.5
Sac,161,Iowa,3.5
Story,169,Iowa,3.6
Union,175,Iowa,5.9
Warren,181,Iowa,4.6
Worth,195,Iowa,5.4
Atchison,005,Kansas,6.9
Butler,015,Kansas,6.5
Lac qui Parle,073,Minnesota,4.7
Lyon,083,Minnesota,4.5
McLeod,085,Minnesota,5.7
Meeker,093,Minnesota,5.2
Nicollet,103,Minnesota,4.8
Pennington,113,Minnesota,6.2
Pope,121,Minnesota,4.5
Redwood,127,Minnesota,5.5
Steele,147,Minnesota,5.5
Todd,153,Minnesota,5.3
Waseca,161,Minnesota,6.2
Alcorn,003,Mississippi,6.2
Calhoun,013,Mississippi,8.1
Chickasaw,017,Mississippi,10.9
Copiah,029,Mississippi,8.3
Franklin,037,Mississippi,8.3
Hinds,049,Mississippi,9.3
Jasper,061,Mississippi,8.9
Jefferson Davis,065,Mississippi,9.6
Lauderdale,075,Mississippi,7.5
West Baton Rouge,121,Louisiana,7.2
Winn,127,Louisiana,7.1
Hancock,009,Maine,5.7
Washington,029,Maine,6.2
Allegany,001,Maryland,7.8
Anne Arundel,003,Maryland,5.8
Calvert,009,Maryland,5.2
Charles,017,Maryland,6.7
Dorchester,019,Maryland,6.7
Kent,029,Maryland,6.6
Queen Anne's,035,Maryland,5.5
St. Mary's,037,Maryland,4.8
Somerset,039,Maryland,8.3
Talbot,041,Maryland,6
Franklin,011,Massachusetts,7.4
Antrim,009,Michigan,9.7
Barry,015,Michigan,7.4
Branch,023,Michigan,8.1
Clare,035,Michigan,11.5
Clinton,037,Michigan,6.6
Eaton,045,Michigan,7.7
Gratiot,057,Michigan,8
Houghton,061,Michigan,7.2
Isabella,073,Michigan,8.4
Kalamazoo,077,Michigan,7.2
Keweenaw,083,Michigan,8.9
Lake,085,Michigan,10.8
Lenawee,091,Michigan,9
Mackinac,097,Michigan,13.4
Marquette,103,Michigan,8.3
Mecosta,107,Michigan,9.1
Midland,111,Michigan,7.5
Montcalm,117,Michigan,9.1
Newaygo,123,Michigan,8.7
Osceola,133,Michigan,8.3
Roscommon,143,Michigan,12.1
Shiawassee,155,Michigan,9.2
Washtenaw,161,Michigan,6.4
Wexford,165,Michigan,10.2
Benton,009,Minnesota,6.6
Carver,019,Minnesota,5.2
Clearwater,029,Minnesota,9.4
Dodge,039,Minnesota,5.4
Grant,051,Minnesota,5.3
Hubbard,057,Minnesota,7.1
Kandiyohi,067,Minnesota,4.8
Jasper,097,Missouri,5.7
Knox,103,Missouri,4
Lawrence,109,Missouri,6.1
Livingston,117,Missouri,3.8
Miller,131,Missouri,6.2
Monroe,137,Missouri,5.9
Osage,151,Missouri,3.6
Pettis,159,Missouri,6.8
Pulaski,169,Missouri,5.6
Reynolds,179,Missouri,5.7
Saline,195,Missouri,4.5
Shelby,205,Missouri,4.5
Sullivan,211,Missouri,4.3
Washington,221,Missouri,7.2
Wright,229,Missouri,7
Cascade,013,Montana,5.9
Golden Valley,037,Montana,4.7
Jefferson,043,Montana,5.1
Merrick,121,Nebraska,4
Nance,125,Nebraska,3.2
Perkins,135,Nebraska,1.8
Phelps,137,Nebraska,3
Richardson,147,Nebraska,3.2
Seward,159,Nebraska,4.1
Sherman,163,Nebraska,3.2
Thomas,171,Nebraska,4
Wheeler,183,Nebraska,1.8
Esmeralda,009,Nevada,5.2
Mineral,021,Nevada,5.6
White Pine,033,Nevada,4.2
Camden,007,New Jersey,10.1
Gloucester,015,New Jersey,9.3
Passaic,031,New Jersey,12.6
Bernalillo,001,New Mexico,8.1
Cibola,006,New Mexico,9.2
Liberty,051,Montana,2.8
Meagher,059,Montana,4.7
Petroleum,069,Montana,3.4
Silver Bow,093,Montana,6.6
Teton,099,Montana,4.4
Wheatland,107,Montana,7.3
Antelope,003,Nebraska,2.3
Blaine,009,Nebraska,3.5
Butler,023,Nebraska,3.4
Clay,035,Nebraska,3.2
Colfax,037,Nebraska,2.9
Dawson,047,Nebraska,3.4
Dodge,053,Nebraska,3.5
Frontier,063,Nebraska,2.9
Gosper,073,Nebraska,2.6
Hayes,085,Nebraska,2.2
Howard,093,Nebraska,4.4
Johnson,097,Nebraska,3.9
McPherson,117,Nebraska,2.7
Leake,079,Mississippi,7.9
Leflore,083,Mississippi,10.7
Monroe,095,Mississippi,8.9
Neshoba,099,Mississippi,9.3
Noxubee,103,Mississippi,11
Pontotoc,115,Mississippi,7.8
Prentiss,117,Mississippi,7
Simpson,127,Mississippi,6.8
Tippah,139,Mississippi,7
Washington,151,Mississippi,11
Adair,001,Missouri,5.1
Barry,009,Missouri,6.5
Buchanan,021,Missouri,4.9
Carroll,033,Missouri,6
Christian,043,Missouri,4.9
Cooper,053,Missouri,5.6
Dent,065,Missouri,4.8
Gentry,075,Missouri,3.4
Hickory,085,Missouri,5.1
Alamance,001,North Carolina,7.2
Alleghany,005,North Carolina,7.3
Bladen,017,North Carolina,7.2
Buncombe,021,North Carolina,8.3
Caldwell,027,North Carolina,7.9
Dare,055,North Carolina,9.8
Davidson,057,North Carolina,7.1
Forsyth,067,North Carolina,7.4
Guilford,081,North Carolina,8.6
Hertford,091,North Carolina,7
Jones,103,North Carolina,5.8
Martin,117,North Carolina,6.9
Nash,127,North Carolina,8.4
Pender,141,North Carolina,6.6
Randolph,151,North Carolina,7.4
Scotland,165,North Carolina,12
Stanly,167,North Carolina,6.3
Geauga,055,Ohio,6.7
Hancock,063,Ohio,6.8
Hardin,065,Ohio,8.1
Holmes,075,Ohio,3.9
Licking,089,Ohio,6.5
Madison,097,Ohio,5.9
Miami,109,Ohio,7
Noble,121,Ohio,9.6
Pike,131,Ohio,9.4
Sandusky,143,Ohio,8.1
Seneca,147,Ohio,8.1
Union,159,Ohio,5.8
Wayne,169,Ohio,5.9
Wood,173,Ohio,7.1
Beckham,009,Oklahoma,7.5
Carter,019,Oklahoma,7
Comanche,031,Oklahoma,6.7
Dewey,043,Oklahoma,4.8
Grant,053,Oklahoma,3.3
Vance,181,North Carolina,10.1
Wayne,191,North Carolina,6.5
Yadkin,197,North Carolina,7.1
Billings,007,North Dakota,3.7
Cavalier,019,North Dakota,3.5
Foster,031,North Dakota,3.5
Grand Forks,035,North Dakota,4.6
LaMoure,045,North Dakota,2.6
Mountrail,061,North Dakota,5.1
Ransom,073,North Dakota,4.1
Rolette,079,North Dakota,13.4
Steele,091,North Dakota,3
Wells,103,North Dakota,4.4
Allen,003,Ohio,8.5
Brown,015,Ohio,8.2
Clinton,027,Ohio,8.3
Defiance,039,Ohio,8.2
Fayette,047,Ohio,7.4
Eddy,015,New Mexico,6.9
Lincoln,027,New Mexico,8.8
Los Alamos,028,New Mexico,3.7
San Juan,045,New Mexico,10
Socorro,053,New Mexico,7.1
Allegany,003,New York,8.1
Columbia,021,New York,6.2
Genesee,037,New York,7.4
Herkimer,043,New York,8.2
Montgomery,057,New York,8.8
Ontario,069,New York,7.3
Rensselaer,083,New York,7
Schoharie,095,New York,7.1
Tompkins,109,New York,6.2
Wyoming,121,New York,7.5
Yates,123,New York,6.5
Blair,013,Pennsylvania,8.7
Bradford,015,Pennsylvania,7.5
Cambria,021,Pennsylvania,9.5
Clarion,031,Pennsylvania,8.2
Elk,047,Pennsylvania,12.3
Indiana,063,Pennsylvania,9.1
Lackawanna,069,Pennsylvania,9.6
Mifflin,087,Pennsylvania,8.4
Montour,093,Pennsylvania,6.1
Potter,105,Pennsylvania,9.3
Sullivan,113,Pennsylvania,8.5
Warren,123,Pennsylvania,8.1
Allendale,005,South Carolina,9.4
Bamberg,009,South Carolina,9
Clarendon,027,South Carolina,6.8
Fairfield,039,South Carolina,7.9
Benton,005,Tennessee,8.2
Bledsoe,007,Tennessee,8.6
Campbell,013,Tennessee,7.6
Clay,027,Tennessee,8.1
Coffee,031,Tennessee,7.8
Dyer,045,Tennessee,8
