company,year,role,men,women,other,asian,black,hispanic,indigenous,multiracial,white,employees_number
microsoft,2019,non-tech,60.5,39.4,0.1,16.6,7.5,9.6,0.8,2.3,63.1,163000
microsoft,2019,leadership,79.5,20.5,0,27.8,2.5,4.7,0.4,1.2,63.2,163000
microsoft,2018,overall,73.4,26.6,0,31.9,4.1,6,0.7,1.8,55.1,144000
microsoft,2018,tech,80,19.9,0.1,39.2,2.8,4.5,0.8,1.8,50.9,144000
microsoft,2018,non-tech,61.7,38.2,0.1,15.9,7.1,9.1,0.8,2,64.2,144000
microsoft,2018,leadership,80.1,19.9,0,26.1,2.4,4.4,0.4,1,65.6,144000
microsoft,2017,overall,74.4,25.5,0.1,31,3.9,5.8,0.7,1.6,56.9,131000
microsoft,2017,tech,81.6,18.4,0,37.7,2.6,4.2,0.8,1.5,53.1,131000
microsoft,2017,non-tech,61.7,38.2,0.1,15.7,6.9,9.3,0.8,1.7,65.3,131000
microsoft,2017,leadership,80.9,19.1,0,24.7,2.3,4.2,0.4,0.9,67.4,131000
